Registrant Name,amount
"MADISON ASSOCIATES, LLC",33210.0
"JAMISON AND SULLIVAN, INC.",33280.0
PAVEA LLC,33300.0
THE BRIGHTUP GROUP LLC,33300.0
"ETHERTON AND ASSOCIATES, INC.",33500.0
CYRUS M. JOLLIVETTE PUBLIC AFFAIRS LLC,33510.0
AMERICAN ASSOCIATION OF PORT AUTHORITIES,33655.21
STANDARD & POORS FINANCIAL SERVICES LLC,33750.0
HUNTON ANDREWS KURTH LLP (FORMERLY HUNTON & WILLIAMS LLP),33822.26
ENVIRONMENTAL WORKING GROUP,33935.0
"CONSERVATION PATHWAYS, LLC",34000.0
THE POTOMAC GROUP,34000.0
NATIONAL MOBILITY EQUIPMENT DEALERS ASSOCIATION,34000.0
AMERICAN WILD HORSE CAMPAIGN,34000.0
"C6 STRATEGIES, LLC (FKA MS. DANA W. HUDSON)",34050.0
THE SPECTRUM GROUP,34050.0
TAUZIN STRATEGIC NETWORKS,34100.0
MS. KAREN JOHNSON,34100.0
LJM RAD LLC (FKA L&J RAD LLC),34120.0
"THE TOY ASSOCIATION, INC.",34160.42
AMERICAN ASSOCIATION OF CLINICAL ENDOCRINOLOGISTS,34200.0
US STRATEGIES,34300.0
"835 CONSULTING, LLC",34350.0
"RUFFALO AND ASSOCIATES, LLC",34400.0
"PLAINS COTTON GROWERS, INC.",34416.0
"G S PROCTOR AND ASSOCIATES, INC",34450.0
THE PUERTO RICO EQUALITY FORUM,34454.36
CLEVELAND CLINIC FOUNDATION,34462.0
INTERNATIONAL TRADEMARK ASSOCIATION,34500.0
"ANNDYL POLICY GROUP, LLC",34530.0
CONCERNED WOMEN FOR AMERICA LEGISLATIVE ACTION COMMITTEE,34546.33
"THOMAS WALTERS & ASSOCIATES, INC.",34550.0
"BEHAN COMMUNICATIONS, INC.",34668.35
HOBOKEN STRATEGY GROUP,34700.0
ABELL PUBLIC POLICY,34700.0
"LAMONT CONSULTING SERVICES, LLC",34757.0
MEDIATEK USA INC.,34775.0
"COMPASS CONSULTING GROUP, LLC",34800.0
FIDELIS GOVERNMENT RELATIONS,34819.3
HOUSEHOLD & COMMERCIAL PRODUCTS ASSOCIATION,34823.86
CONFLUENCE GOVERNMENT RELATIONS,34900.0
"MORGAN MEGUIRE, LLC",34900.0
JLV STRATEGIES LLC,35243.0
MCDONALD HOPKINS LLC,35250.0
"RISK & INSURANCE MANAGEMENT SOCIETY, INC.",35500.0
PAUL HASTINGS LLP,35500.0
DMM STRATEGIES,35600.0
"VERSANT STRATEGIES LLC (FORMERLY KNOWN AS WOLFF STRATEGIES, LLC.)",35650.0
GRANT CONSULTING GROUP,35673.44
"TODD SMITH & ASSOCIATES, LLC",35750.0
"CAREQUEST INSTITUTE FOR ORAL HEALTH, INC.",35800.0
MASCO CORPORATION,35950.0
"SCONSET STRATEGIES, LLC",36000.0
LILLSTROM CHENG STRATEGIES,36056.42
NAMMO INC.,36150.0
"BRIDGE STREET GROUP, LLC",36200.0
CAPITOL VENTURE LLC,36250.0
COUNCIL FOR OPPORTUNITY IN EDUCATION,36271.76
ASSOCIATION FOR MATERIALS PROTECTION AND PERFORMANCE (AMPP),36275.0
"O'KEEFFE SHAHMORADI STRATEGIES, LLC",36300.0
PROSKAUER ROSE LLP,36318.38
"FDJ SOLUTIONS, LLC",36500.0
"R. B. MURPHY & ASSOCIATES, LLC",36550.0
MR. H.R. BERT PENA,36600.0
"WHITMER & WORRALL, LLC",36650.0
MR. GARRETT JEMISON,36700.0
GUIDRY ASSOCIATES LLC,36715.96
"LEWIS-BURKE ASSOCIATES, LLC",36734.73
"SULLIVAN PUBLIC AFFAIRS, INC",36750.0
LOWRY STRATEGIES,36790.0
CYSTIC FIBROSIS FOUNDATION,36801.53
"ECONOMIC SECURITY PROJECT ACTION, INC. AND ITS AFFILIATES",36893.55
BARLOON.CO,36900.0
ASSOCIATION OF AMERICAN MEDICAL COLLEGES,36986.0
KIMBERLY OLSON DORGAN,37000.0
ALIBABA GROUP HOLDING LIMITED,37000.0
NORTH AMERICAN MEAT ASSOCIATION,37000.0
ARGO AI,37000.0
"BOLD STRATEGIES, LLC",37100.0
MR. STEPHEN RYAN,37100.0
DILLON MCGREGOR,37250.0
CONRAD LAW & POLICY COUNSEL,37300.0
AMERICAN EXPLORATION & MINING ASSOCIATION,37500.0
DIRECT SELLING ASSOCIATION,37500.0
"WORLD WILDLIFE FUND, INC.",37508.51
MACK STRATEGIES,37588.0
CONLON PUBLIC STRATEGIES,37976.66
CLEARY GOTTLIEB STEEN & HAMILTON LLP,38000.0
KEURIG DR PEPPER INC.,38000.0
"RAILWAY SUPPLY INSTITUTE, INC.",38030.0
BURRELL INTERNATIONAL GROUP LLC,38150.0
MS. BARBARA ROHDE,38200.0
MR. JAMES F. MCCONNELL,38250.0
FEDERAL RESOURCES GROUP,38270.0
MR. MATTHEW G. KALLNER,38300.0
SPOTIFY USA INC.,38326.85
SECURE IDENTITY LLC (D-B-A CLEAR),38350.0
FLORIDA INTERNATIONAL UNIVERSITY,38386.58
WALTER CONSULTING,38500.0
FEDERAL HEALTH POLICY STRATEGIES,38500.0
DICKINSON WRIGHT PLLC,38512.1
"COOPER & KIRK, PLLC",38800.0
"SAVE THE CHILDREN FEDERATION, INC.",38879.31
O'DONOGHUE & O'DONOGHUE LLP,38971.66
"THALES USA, INC.",39000.0
CROSS POTOMAC CONSULTING LLC,39000.0
"M.J. SIMON & COMPANY, LLC",39041.0
"BLUE RIDGE LAW & POLICY, P.C.",39100.0
"BOB LAWRENCE & ASSOCIATES, INC.",39175.0
"MAGILL ASSOCIATES, LLC",39250.0
MARTIN FROST CONSULTING,39400.0
AMERICAN CHEMICAL SOCIETY (ACS),39478.28
THE FIORENTINO GROUP,39500.0
THE FURMAN GROUP,39500.0
MICHAEL PIEPER,39500.0
"CAPITOL ALLIANCE CONSULTING, LLC",39600.0
ALB SOLUTIONS,39650.0
SINHA ASSOCIATES LLC,39850.0
"NYPROCOA, INC.",40000.0
UPSTREAM CONSULTING,40000.0
TOLLHOUSE ENTERPRIZE LLC,40100.0
"TAUZIN CONSULTANTS, LLC",40125.0
UNITED LAUNCH ALLIANCE LLC,40125.0
"RUTLEDGE POLICY GROUP, LLC",40133.32
THOMPSON HINE LLP,40250.0
CSRA INC.,40300.0
COUNCIL FOR CITIZENS AGAINST GOVERNMENT WASTE,40307.88
PACIFIC DEFENSE LLC,40350.0
"SPARK THERAPEUTICS, INC.",40400.0
KEYSTONE STRATEGY + ADVOCACY,40403.65
CM GOVERNMENT RELATIONS,40445.58
CAPITOL REPRESENTATIVES,40540.3
"SMITH, COSTELLO & CRAWFORD",40570.0
"GREENLEE PARTNERS, LLC",40577.03
SIRONA STRATEGIES LLC,40667.67
"SABISTON CONSULTANTS, LLC",40685.0
THE ACCORD GROUP,40700.0
AMERICAN BUSINESS DEVELOPMENT GROUP,40700.0
"PYXIS PARTNERS, LLC",40700.0
MG HOUSING STRATEGIES LLC,40750.0
POLISPACE-JAMES A.M. MUNCY,40762.5
LIZ WILLIAMS AND COMPANY,41000.0
INTEREL US,41000.0
AMERICAN ACADEMY OF PEDIATRICS,41017.74
"FEDERAL HILL GROUP, LLC",41150.0
CAUTHEN FORBES & WILLIAMS,41200.0
ANWAY LONG GROUP,41245.0
"SHUMAKER ADVISORS FLORIDA, LLC",41278.06
LAND TRUST ALLIANCE,41520.0
CALLWOOD ASSOCIATES LLC,41700.0
"GOVERNMENTAL CONSULTANT SERVICES, INC.",41711.770000000004
RB CROWE LLC FORMERLY KNOWN AS ROBERT CROWE,41718.0
"GOVBIZ ADVANTAGE, INC.",41850.0
TAPIA & ASSOCIATES,41950.0
UNIVERSITY OF ROCHESTER,42018.0
"UNIVERSAL TECHNICAL INSTITUTE, INC.",42350.0
"CAPEDC ADVISORS, LLC",42400.0
MR. ROBERT TALLEY,42400.0
SECTION VII STRATEGIES,42700.0
PERATON CORP.,42750.0
PACIFIC ATLANTIC PARTNERS,42900.0
LOT SIXTEEN LLC,42926.62
ICE MILLER STRATEGIES LLC,42955.98
"MAXIM HEALTHCARE SERVICES, INC.",43000.0
LNE GROUP,43022.62
GEOFFREY P. GRAY,43150.0
WILLIAMS MULLEN,43200.0
MARY LANDRIEU,43333.33
STEVE BUYER GROUP,43500.0
KRIEG DEVAULT LLP,43500.4
"STIEFEL & JONES CONSULTING, LLC",43525.0
CASCADE ASSOCIATES,43533.35
FIRST STRATEGIC,43550.0
"STRATEGIC IMPACT, INC.",43600.0
"ALPHA STRATEGIES, LLC",43600.0
VETERANS GUARDIAN VA CLAIM CONSULTING LLC,43641.02
LYFT,43650.0
TESLA INC.,43682.0
LOUIS DREYFUS COMMODITIES LLC,43700.0
RNL CONSULTING LLC,43700.0
THEODORE OKON,43776.67
THE DLM GROUP,43920.0
CARPENTER STRATEGIC CONSULTING LLC,44000.0
PHIL BOND & ASSOCIATES,44014.52
"CARMEN GUZMAN, LLC",44094.0
STUMPTOWN STRATEGIES,44116.0
PACKARD GOVERNMENT AFFAIRS,44200.0
DOW LOHNES PLLC,44200.0
FOXLEY & PIGNANELLI,44300.0
"WEEKS MARINE, INC.",44509.0
THE NATURE CONSERVANCY,44646.39
"ROETZEL & ANDRESS, LPA",44650.0
HOME SCHOOL LEGAL DEFENSE ASSN,44716.95
JENNER & BLOCK LLP,44950.0
"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",45050.0
"HOWARD WOOLLEY GROUP, LLC",45100.0
ASSET & EQUITY CORPORATION,45100.0
CLAUSE LAW P.L.L.C.,45100.0
"MASON STREET CONSULTING, LLC",45255.0
ALLIANCE FOR QUALITY NURSING HOME CARE,45275.0
THE COHEN GROUP,45400.0
LOG CABIN REPUBLICANS,45550.0
"MASIELLO, MARTUCCI & ASSOCIATES FKA MASIELLO, MARTUCCI, CALABRESE & ASSOCIATES",45550.0
"MJ CAPITOL CONSULTING, LLC",45615.7
NATIONAL WASTE & RECYCLING ASSOCIATION,45700.0
OHIO CORN AND WHEAT GROWERS ASSOCIATION,45700.0
"TIDES GROUP, LLC",45700.0
INDEPENDENT TELEPHONE AND TELECOMMUNICATIONS ALLIANCE,45950.0
"INVEST IN EDUCATION COALITION, INC.",46020.0
H&M STRATEGIES LLP,46025.0
"ATCITTY & VAN NORMAN LAW, LLC",46100.0
"PEDUZZI ASSOCIATES, LTD.",46135.0
"NORTH STAR STRATEGIES, LLC",46250.0
ARCONIC CORPORATION,46300.0
MCKECHNIE & COMPANY,46350.0
MR. MICHAEL G. OXLEY,46400.0
"DATAROBOT, INC.",46410.0
LESIC AND CAMPER COMMUNICATIONS,46450.0
GDS STRATEGIES LLC,46537.94
"PURPLE ADVOCACY, LLC",46550.0
ASSOCIATION OF PUBLIC-SAFETY COMMUNICATIONS OFFICIALS INT,46575.64
ATLAS CROSSING LLC,46600.0
"ALTRIUS GROUP, LLC",46600.0
SALT POINT STRATEGIES,46750.0
KEVIN KAYES LLC,46790.0
FS VECTOR LLC,46800.0
BALL JANIK LLP,46985.25
NATIONAL ASSOCIATION OF WATER COMPANIES,47000.0
AMERICAN SOCIETY OF CONSULTANT PHARMACISTS,47090.0
FRANKLIN CREEK CONSULTING,47100.0
"CALIFORNIA STRATEGIES & ADVOCACY, LLC",47236.57
AT-SEA PROCESSORS ASSOCIATION,47245.0
WATKINS & EAGER PLLC,47350.0
THE CHERTOFF GROUP,47400.0
ROSEMONT GROUP,47420.0
"ROSEMONT ASSOCIATES, LLC",47575.0
TERADATA CORPORATION,47605.5
"RUHLEN STRATEGIES, LLC",47700.0
MAY GROUP LLC,47750.0
SCHOOL NUTRITION ASSOCIATION,48000.0
HACKNEY GOVERNMENT AFFAIRS GROUP (FORMERLY CLINT HACKNEY & COMPANY),48250.0
"ALL-CIRCO, INC.",48359.75
MR. VINCENT A. PANVINI,48375.0
"INTUITIVE SURGICAL, INC.",48500.0
"STRATEGIC CONGRESSIONAL AND GOVERNMENTAL SOLUTIONS, LLC",48567.07
"CARPI & CLAY, INC",48901.04
THE DOERRER GROUP LLC,49000.0
GUARDANT HEALTH,49000.0
TD AMERITRADE HOLDING CORPORATION,49100.0
"THE COLWELL GROUP, LLC",49185.13
MR. BILL SARPALIUS,49200.0
AMERICAN CLEANING INSTITUTE,49250.0
MR. STEVEN HOLTZMAN,49300.0
FELD ENTERTAINMENT,49450.0
ABI ASSOCIATES,49500.0
ORGANON & CO.,49500.0
WASHINGTON HEALTH STRATEGIES GROUP,49588.0
MICHAEL HARIDOPOLOS,49700.0
"JOHN DUNCAN AND ASSOCIATES, LLC",49700.0
"FUENTES STRATEGIES, LLC",49950.0
VULCAN INC.,50000.0
GEORGIA INSTITUTE OF TECHNOLOGY,50173.21
"SB GROUP US, INC. DBA SOFTBANK GROUP US, INC.",50277.9
SHIELD AI,50400.0
BLUEPOINT DC,50500.0
"DEFENSE CONSULTING GROUP, LLC",50500.0
NATIONAL ASSOCIATION OF RETAIL COLLECTION ATTORNEYS,50500.0
DRUG POLICY ALLIANCE,50530.0
"CLEAVES BIOMASS SERVICES, LLC",50574.36
TRIBUTARY LLP,50680.0
CALIFORNIA MEDICAL ASSOCIATION INC.,50730.0
"HILL EAST GROUP, LLC",50750.0
"MITSUBISHI POWER AMERICAS, INC. F/K/A MHPS AMERICAS INC",50900.0
MULTIPLE  STRATEGIES LLC,51000.0
BEACON CONSULTING GROUP,51250.0
"BAILEY STRATEGIC ADVISORS, LLC",51300.0
MS. KATHRYN KREPP,51310.0
"SL STRATEGIES, LLC",51425.0
NATIONAL THOROUGHBRED RACING ASSOCIATION,51500.0
NATIONAL ASSOCIATION OF SOCIAL WORKERS,51500.0
ASSOCIATION FOR UNCREWED VEHICLE SYSTEMS INTERNATIONAL,51550.0
ASME,51837.99
BRAMER GROUP LLC,51950.0
"PARKER, POE, ADAMS & BERNSTEIN LLP",51966.32
"THREE BRIDGES ADVISORS, INC.",52000.0
BURTON STRATEGY GROUP,52318.0
LONG LAW FIRM,52400.0
NATIONAL COLLEGIATE ATHLETIC ASSOCIATION,52400.0
TENCATE,52500.0
"ICAP SERVICES NORTH AMERICA LLC (FORMERLY ICAP NORTH AMERICA, INC.)",52750.0
"SB STRATEGIC CONSULTING, INC.",52836.0
CHRISTIE 55 SOLUTIONS LLC,53200.0
"AM GENERAL, LLC",53500.0
LIONEL SAWYER & COLLINS,53500.0
THE WESSEL GROUP INCORPORATED,53600.0
"H. M. RILEY ASSOCIATES, LLC",53650.0
MEYERS AND ASSOCIATES,53820.7
"HOOPER, LUNDY & BOOKMAN, P.C.",54175.0
DOW CORNING CORPORATION,54250.0
TAYLOR STRATEGIES,54325.0
"RICHARD J. LEIDL, P.C.",54350.0
BEAU BOULTER LLC,54450.0
ALLIANCE FOR PHYSICAL THERAPY QUALITY AND INNOVATION,54530.0
ALLIANCE FOR AGING RESEARCH,54584.91
NORTHERN COMPASS GROUP LLC,54590.5
AMERICAN SHIPPING & LOGISTICS GROUP,54750.0
"CITIZENS FOR RESPONSIBLE ENERGY SOLUTIONS, INC.",54835.16
CORN REFINERS ASSOCIATION,54950.0
THRIVENT FINANCIAL FOR LUTHERANS,55000.0
MODERN MARKETS INITIATIVE,55000.0
"PATHWARD, N.A.",55150.0
"NETFLIX, INC.",55300.0
"HILL PARTNER, LLC",55300.0
MARKLEY AND COMPANY,55400.0
NEWS MEDIA ALLIANCE,55400.0
RISING TIDE ASSOCIATES,55479.99
CRAWFORD & MAURO LAW FIRM,55635.2
HUTTON-TRANSCON JOINT VENTURE,55710.0
"WESTERN HEMISPHERE STRATEGIES, LLC",56000.0
"DAWSON & ASSOCIATES, INC.",56089.0
CORDONE CONSULTING LLC,56400.0
WILLIAM BALL,56400.0
EPPLIN STRATEGIC PLANNING,56500.0
BEECHCRAFT CORPORATION,56500.0
"POLICY IMPACT COMMUNICATIONS, INC.",56563.5
BLOOM STRATEGIC COUNSEL,56600.0
CRONOS USA CLIENT SERVICES LLC,56600.0
SQUIRE PATTON BOGGS (US) LLP (F.K.A. SQUIRE SANDERS (US) LLP),56750.0
NATIONAL AIR TRANSPORTATION ASSOCIATION,56750.0
CAPITOL STRATEGIES PARTNERS LLC,56791.03
"MOSS MCGEE BRADLEY, LLC",56800.0
"TRIANGLE ASSOCIATES, INC.",56800.0
"ROBINHOOD MARKETS, INC.",56850.0
"REARDON CONSULTING, LLC",57300.0
PAVLUCHUK & ASSOCIATES,57319.0
THE FRANKLIN PARTNERSHIP,57397.0
"AUTODESK, INC",57425.0
PRIMACY STRATEGY GROUP,57495.0
WISPA- WIRELESS INTERNET SERVICE PROVIDERS ASSOCIATION,57500.0
"AGRIBANK, FCB",57741.130000000005
"IPC INTERNATIONAL, INC.",57782.65
MOORE CONSULTING,57786.4
DAVID TURCH & ASSOC.,57975.0
"BRACY TUCKER BROWN & VALANZANO, INC.",58040.0
NATIONAL WILDLIFE FEDERATION,58086.41
"CIVITAS PUBLIC AFFAIRS GROUP, LLC",58096.46
THE CHEMOURS COMPANY,58100.0
WESTERN UNION,58250.0
VANDERBILT UNIVERSITY,58814.259999999995
KEY IMPACT STRATEGIES,59100.0
STOKES STRATEGIES,59250.0
AMERICAN SUPERCONDUCTOR CORPORATION,59450.0
"TELADOC HEALTH, INC.",59560.61
AMERICAN INTERNATIONAL AUTOMOBILE DEALERS ASSOCIATION,60250.0
"ROPES & GRAY, LLP",60250.0
HARMONY BIOSCIENCES,60360.0
"OMNICARE, INC.",60500.0
BASIN ELECTRIC POWER COOPERATIVE,60700.0
"SORINI, SAMET & ASSOCIATES, LLC",60700.0
FROST BROWN TODD LLC,60700.0
HDMK,60733.0
STRATEGIC PUBLIC AFFAIRS,60785.72
NATIONAL ASSOCIATION OF THEATRE OWNERS,61000.0
AMERICAN JEWISH COMMITTEE,61194.0
"PAUL, WEISS, RIFKIND, WHARTON & GARRISON LLP",61339.5
LONE ROCK STRATEGIES,61453.67
"CONTINENTAL STRATEGY, LLC",62000.0
DENNY MILLER ASSOCIATES,62075.0
"DC LEGISLATIVE AND REGULATORY SERVICES, INC.",62079.0
SONY MUSIC ENTERTAINMENT (FORMERLY KNOWN AS SONY BMG MUSIC ENTERTAINMENT),62100.0
ALASKA WILDERNESS LEAGUE ACTION,62123.0
GRANT PARK STRATEGIES,62145.0
GOODWIN PROCTER LLP,62250.0
"URBAN SWIRSKI & ASSOCIATES, LLC",62402.0
"EDINGTON, PEEL & ASSOCIATES, INC.",62550.0
"TTM TECHNOLOGIES, INC",62600.0
FUTURES INDUSTRY ASSOCIATION,62850.0
VIKING NAVIGATION LLC,62950.0
NATIONAL AUTOMATIC MERCHANDISING ASSOCIATION,62987.21
PLASTER AND ASSOCIATES LLC,63100.0
KELSAY STRATEGIES LLC,63150.0
BLUEWATER STRATEGIES,63200.0
"DROPBOX, INC.",63300.0
MBDA INCORPORATED,63400.0
"COHEN & GRIGSBY, P.C.",63500.0
AMERICAN BIRD CONSERVANCY,63550.0
"MONUMENT STRATEGIES, LLC",63595.0
MCLARTY INBOUND LLC,63613.5
MARITIME INSTITUTE FOR RESEARCH AND INDUSTRIAL DEVELOPMENT,63676.55
ALBANIAN AMERICAN CIVIC LEAGUE,63885.17
MR. BRIAN GLACKIN,63900.0
"LEGER STRATEGIES, LLC",63900.0
SKOG RASMUSSEN LLC,64350.0
TARPLIN STRATEGIES LLC,64750.0
"CANFIELD & ASSOCIATES, INC.",64750.0
"APTIV, PLC",65000.0
G2G CONSULTING,65279.38
THOMPSON CONSULTING GROUP,65500.0
"ENTERPRISE PRODUCTS PARTNERS LP (FORMERLY KNOWN AS ENTERPRISE PRODUCTS COMPANY OR EPCO, INC.)",65500.0
"BETTER MEDICARE ALLIANCE, INC.",65509.1
"SAVE THE CHILDREN ACTION NETWORK, INC.",65746.99
AMERICAN SECURITIES ASSOCIATION,65800.0
PEYSER ASSOCIATES LLC,65800.0
"MURRAY, MONTGOMERY & O'DONNELL",65800.0
EQT CORPORATION,65886.41
"NUTTER & HARRIS, INC",66000.0
PLS FINANCIAL SERVICES,66000.0
"PLATINUM ADVISORS, LLC",66000.0
HILLNORTH LLC,66050.0
ABIR,66300.0
"HEALTH AND MEDICINE COUNSEL, LLC",66350.0
"OPPORTUNITY FINANCIAL, LLC",66400.0
TAHIRIH JUSTICE CENTER,66453.0
VATOCA PARTNERS,66500.0
FARMERS INVESTMENT CO.,66650.0
"MADISON SERVICES GROUP, INC",66925.0
"BROWN PRUITT WAMBSGANSS DEAN FORMAN & MOORE, PC",66950.0
CAMERON COMPANIES,67067.28
"CSS PARTNERS, LLC",67100.0
DEBEVOISE & PLIMPTON LLP,67146.15
KAMINS CONSULTING,67192.22
HONIGMAN LLP,67225.0
MILESTONE FEDERAL SOLUTIONS,67250.0
WATERSHED RESULTS LLC,67400.0
ALLIANCE FOR RETIRED AMERICANS,67400.0
VITELLO CONSULTING,67600.0
"HEIDEPRIEM & ASSOCIATES, LLC",67639.67
BRAVO GROUP,67800.0
RML STRATEGIES,67850.0
"R2P STRATEGIES, LLC",67950.0
INFINEON TECHNOLOGIES AMERICAS CORP.,68000.0
NATIONAL CREDITORS BAR ASSOCIATION,68294.0
NANA REGIONAL CORPORATION,69000.0
"DOMER CONSULTING, LLC",69500.0
SEABOARD CORPORATION,69620.0
THE J.M. SMUCKER COMPANY,69700.0
"THE CJR GROUP, INC.",69706.37
NATIONAL COUNCIL FOR BEHAVIORAL HEALTH,69744.67
"INTEGRYS ENERGY GROUP, INC.",70000.0
"FERGUSON STRATEGIES, LLC",70021.0
"LJ CONSULTING, LLC",70050.0
SOCIETY FOR CARDIOVASCULAR ANGIOGRAPHY AND INTERVENTIONS,70050.0
WASHINGTON ALLIANCE GROUP,70275.0
CNX RESOURCES CORPORATION,70500.0
"TERRITORY & COMMONWEALTH, LLC",70500.0
"CROP INSURANCE RESEARCH BUREAU, INC.",70500.0
"REAL ESTATE SERVICES PROVIDERS COUNCIL, INC.",70563.31
"JACK FERGUSON ASSOC., INC.",70600.0
CAPITOL SOLUTIONS,70800.0
"DS2 GROUP, LLC",70911.0
"MELTSNER STRATEGIES, LLC",71000.0
FRAGRANCE CREATORS ASSOCIATION,71100.0
CANNAE POLICY GROUP LLC,71160.0
GM STRATEGIES,71207.5
SEQUA CORPORATION,71250.0
HOLLIS PUBLIC AFFAIRS,71300.0
"SURMONT, LLC",71500.0
DA VINCI GROUP,71567.92
HEALTH INDUSTRY DISTRIBUTORS ASSOCIATION,71575.0
U.S. MORTGAGE INSURERS,71625.0
"THE GALLAGHER GROUP, LLC",71750.0
CONSTANTINOPLE & VALLONE CONSULTING LLC,71921.38
NATURAL RESOURCE RESULTS LLC,71949.17
"RUBICON ADVISORS, LLC",72300.0
MEREDITH CORPORATION,72350.0
"BUTERA, ISRAEL & BECKER PLLC",72392.29
ALPHA STRATEGIES,72400.0
"AMERICAN HONDA MOTOR CO., INC.",72450.0
"WEBSTER, CHAMBERLAIN & BEAN, LLP",72625.0
BLUECROSS BLUESHIELD OF TENNESSEE,72650.0
SIMON AND COMPANY,72930.0
HUNTSMAN CORPORATION,73000.0
STEWART AND STEWART,73144.85
"RUBIN HEALTH POLICY CONSULTING, LLC",73164.25
"AMERICAN PRESIDENT LINES, LLC",73750.0
"TENABLE, INC.",73800.0
NCR CORPORATION,74000.0
"PUBLIC POLICY ADVISORS, INC.",74000.0
"PAUL V. BEDDOE GOVERNMENT AFFAIRS, LLC",75000.0
"ARMENIAN ASSEMBLY OF AMERICA, INC.",75136.38
COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,75304.11
DAVID BRADLEY,75488.36
MS. LYDIA HOFER,76000.0
ROWLAND STRATEGY GROUP LLC,76075.0
"VORYS ADVISORS, LLC",76275.0
SOCIAL SECURITY WORKS,76409.97
"WOOLPERT, INC.",76521.8
"CHARLES F FULLER / THE RESULTS COMPANY, INC.",76750.0
ELANCO ANIMAL HEALTH INCORPORATED,76750.0
"MORGAN, LEWIS & BOCKIUS, LLP",76768.77
MUNK POLICY & LAW,76850.0
"KEEFE SINGISER PARTNERS, FKA KEEFE STRATEGIES LLC",77000.0
NORTH CAROLINA STATE UNIVERSITY,77025.0
PHILIP W. JOHNSTON ASSOCIATES,77100.0
ENVELOPE MANUFACTURERS ASSOCIATION,77460.0
"COINBASE, INC.",77600.0
THE HARRIS FIRM,77808.33
"JELD-WEN, INC.",78050.0
"SOBBA PUBLIC, LLC",78550.0
"COHERUS BIOSCIENCES, INC.",78700.0
SLAIMAN CONSULTING LLC,78725.0
FREEPORT-MCMORAN INC.,78999.94
AIR CONDITIONING CONTRACTORS OF AMERICA,79000.0
"MINTZ LEVIN COHN FERRIS GLOVSKY AND POPEO, P.C.",79022.9
"BECKER & POLIAKOFF, P.A.",79074.0
"ECKERT SEAMANS CHERIN & MELLOTT, LLC",79144.98
CALFEE STRATEGIC SOLUTIONS,79485.0
CHURCHILL DOWNS INCORPORATED,79500.0
"LEAVITT PARTNERS, LLC",79650.0
KASOWITZ BENSON TORRES LLP,79663.7
AMERICANS FOR THE ARTS,79693.18
"APEX CLEAN ENERGY, INC",79700.0
MARKQUEST,79920.0
NATIONAL LEAGUE OF POSTMASTERS,79966.0
SLATTERY STRATEGY LLC,80453.8
"EDWARD D. JONES & CO., L.P.",80500.0
CAPITOL INTEGRATION,80838.4
LINCOLN PARK GROUP L.L.C.,81000.0
"WITH HONOR ACTION, INC.",81337.61
TASSEY & ASSOCIATES,81360.0
MINNESOTA FARM BUREAU FEDERATION,81400.0
"FORSCEY, PLLC",81600.0
MORRISON PUBLIC AFFAIRS GROUP,81654.58
"NAPPI & HOPPE, LLC",81700.0
LINDBERGH COUNSEL LLC,81934.0
SACHEM STRATEGIES,82250.0
MS. REBECCA HALKIAS,82527.36
"CUBIST PHARMACEUTICALS, INC.",83000.0
SEMICONDUCTOR INDUSTRY ASSOCIATION,83290.0
HAGGERTY POLICY SOLUTIONS,83400.0
GLOBAL BLOOD THERAPEUTICS,83600.02
"DOCUMENT STORAGE SYSTEMS, INC.",83850.0
SPIRIT ROCK CONSULTING,83987.0
"FLIR GOVERNMENT SYSTEMS, INC.",84000.0
"ASSOCIATION OF GLOBAL AUTOMAKERS, INC.",84099.92
CLARK STREET ASSOCIATES,84100.0
"GARMIN INTERNATIONAL, INC.",84250.0
CARLINER STRATEGIES LLC,84330.0
PORTER WRIGHT MORRIS & ARTHUR LLP,84557.0
MR. DAVID BIEGING,84900.0
WASHINGTON STRATEGIC CONSULTING,85178.04
AMERICAN STRATEGIC PARTNERS,85190.0
"VOLKSWAGEN GROUP OF AMERICA, INC.",85200.0
JAKE PERRY + PARTNERS,85356.0
TEXAS MEDICAL ASSOCIATION,85537.96
MILLER & WENHOLD CAPITOL STRATEGIES,85657.9
"KOZAK & SALINA, LLC",85774.0
"3 CLICK SOLUTIONS, LLC",85850.0
DORSEY & WHITNEY LLP,86045.55
"PARK STRATEGIES, LLC",86071.0
"ANDURIL INDUSTRIES, INC.",86250.0
THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,86250.0
"OPEN SOCIETY POLICY CENTER, INC.",86300.0
NATIONAL ORGANIZATION FOR THE REFORM OF MARIJUANA LAWS,86320.0
BRODY GROUP L.L.C. PUBLIC AFFAIRS,86370.0
"GRIFOLS SHARED SERVICES NORTH AMERICA, INC.",86432.56
APL LIMITED,86500.0
COMMITTEE FOR EDUCATION FUNDING,86659.21999999999
AMERICAN TOWER CORPORATION,86875.39
COMPUTER SCIENCES CORPORATION,87000.0
BOND DEALERS OF AMERICA,87050.0
"CARTWRIGHT & RILEY, INC.",87650.0
IOWA FARM BUREAU FEDERATION,88000.0
MABRY PUBLIC AFFAIRS LLC,88050.0
BRET HEALY D/B/A RIVERBLUFF STRATEGIES,88104.0
